shortName,calls,total_ns,avg_ns,min_ns,max_ns
18318,3258,665015457,204117.697053407,200896,221568
18317,6515,434515840,66694.6799693016,24000,126305
18232,56,337642623,6029332.55357143,922977,14379282
18235,86,172717092,2008338.27906977,175040,7419690
18315,3258,100184827,30750.4073050952,29504,38112
18312,174,100143853,575539.385057471,194208,779809
18279,3369,48457092,14383.2270703473,7904,699681
18230,28,39233013,1401179.03571429,1149346,1843234
18271,6739,37553173,5572.51417124202,3520,174656
18347,3314,31451366,9490.45443572722,8544,18432
18269,3370,22174044,6579.8350148368,3936,233152
18189,421,18214840,43265.6532066508,1376,506624
18349,3369,12953842,3845.01098248738,2944,6144
18341,3342,12650102,3785.18910831837,3072,11168
18303,12,12254416,1021201.33333333,881025,1293985
18328,122,9999470,81962.868852459,60128,507904
18313,56,6250631,111618.410714286,104960,119393
18321,4,2485732,621433.0,3968,1246210
18248,598,2327777,3892.60367892977,1376,231009
18310,56,2056898,36730.3214285714,30016,47136
18308,56,2005062,35804.6785714286,31168,46304
18296,122,1965542,16111.0,10497,156224
18214,130,1734244,13340.3384615385,2432,233088
18285,28,1477763,52777.25,51488,61920
18287,28,1381120,49325.7142857143,48896,53472
18330,2,1051392,525696.0,521728,529664
18291,122,903042,7401.98360655738,4992,123905
18352,118,751265,6366.65254237288,5824,10880
18256,121,513760,4245.95041322314,3136,102336
18345,119,504064,4235.83193277311,3584,22208
